id,通用名称,药品名称,注意事项,注意事项关系
10,盐酸硫必利片,,1.严重循环系统障碍，肝肾功能障碍，脱水营养不良患者慎用。2.孕妇及哺乳期妇女用药本品对孕妇及哺乳期妇女作用尚不明确，应慎用。3.儿童用药对7～12岁的精神运动不稳定或抽动-秽语综合征患儿口服。平均每次1/2片，每日1～2次。4.老年患者用药对老年性精神运动障碍和迟发性运动障碍口服。开始每天1～2片，以后渐增至每片3～6片，分次服用。,严重循环系统障碍-慎用，肝肾功能障碍-慎用，脱水营养不良-慎用，孕妇及哺乳期妇女-慎用，
11,奥氮平片,,奥氮平可引起嗜睡，从事危险作业时应谨慎。若和酒精同服，可使奥氮平的镇静作用增强。患者长期服用抗精神病药（包括奥氮平），如果出现迟发性运动障碍的体征或症状，应减药或停药。若出现神经阻滞剂恶性综合症（NMS）的临床表现（如高热肌强直精神状态改变及植物神经紊乱等），应立即停用所有抗精神病药，包括奥氮平。,危险作业-谨慎，迟发性运动障碍-停用，经阻滞剂恶性综合症（NMS）-停用，高热肌强直精神状态改变-停用，植物神经紊乱-停用
12,阿立哌唑片,,1、因阿立哌唑具有α1-肾上腺素能受体的拮抗作用，可能引起体位性低血压。阿立哌唑应慎用于心血管疾病（心肌梗塞、缺血性心脏病、心脏衰竭或传导异常病史）患者、脑血管疾病患者或诱发低血压的情况（脱水、血容量过低和降压药治疗）。2、癫痫发作在短期安慰剂对照试验中，有0、1%（1/926）的阿立哌唑治疗者出现癫痫发作。与其它抗精神病药一样，阿立哌唑应慎用于有癫痫病史或癫痫阈值较低的情况（如阿尔茨海默氏病性痴呆）。癫痫阈值较低的情况在65岁以上人群中较常见。3、潜在的认知和运动损害在短期安慰剂对照试验中，11%的阿立哌唑治疗者报道有嗜睡，而安慰剂治疗者为8%；0、1%（1/926）的阿立哌唑治疗者因嗜睡导致的停药。与安慰剂相比，尽管阿立哌唑的嗜睡发生率相对略有升高，但与其他抗精神病药一样，阿立哌唑也可能会损害判断、思考或运动技能。应警告患者小心驾驶汽车，直到确信阿立哌唑治疗不会给他们带来负面影响。1.应慎用于心血管疾病(心肌梗塞、缺血性心脏病、心脏衰竭或传导异常病史)患者、脑血管疾病患者或诱发低血压的情况(脱水、血容量过低和降压药治疗)。2.应慎用于有癫痫病史或癫痫阈值较低的情况(如阿尔茨海默氏病性痴呆)。3.应警告患者小心驾驶汽车。4.应慎用于有吸入性肺炎风险性的患者。详见内包装说明书。,心血管疾病-慎用，心肌梗塞-慎用，缺血性心脏病-慎用，心脏衰竭-慎用，传导异常病史-慎用，脑血管疾病-慎用，低血压-慎用，癫痫-慎用，阿尔茨海默氏病性痴呆-慎用，驾驶汽车-警告，吸入性肺炎-慎用
13,富马酸喹硫平片,,心血管疾病）处理喹硫平无特异性解毒剂。遇到严重中毒的患者，应考虑涉及多种药物的可能性，并建议采取积极的监护措施，包括开通良好的气道，保证足够的供氧和通气，同时监测和维持心血管功能。尽管未研究药物过量时如何防止吸收，但严重中毒时可进行洗胃，如果可能，在摄入后1小时内进行。应考虑使用活性炭。应采取严密的医疗监护和监测，直到患者恢复。(详见包装内部说明书),
14,氟哌啶醇片,,下列情况时慎用心脏病尤其是心绞痛、药物引起的急性中枢神经抑制、癫痫、肝功能损害、青光眼、甲亢或毒性甲状腺肿、肺功能不全、肾功能不全、尿潴留。应定期检查肝功能与白细胞计数。用药期间不宜驾驶车辆、操作机械或高空作业。,
15,阿立哌唑片,,1.应慎用于心血管疾病(心肌梗塞、缺血性心脏病、心脏衰竭或传导异常病史)患者、脑血管疾病患者或诱发低血压的情况(脱水、血容量过低和降压药治疗)。2.应慎用于有癫痫病史或癫痫阈值较低的情况(如阿尔茨海默氏病性痴呆)。3.应警告患者小心驾驶汽车。4.应慎用于有吸入性肺炎风险性的患者。5.详见包装内部说明书。,心血管疾病-慎用，心肌梗塞-慎用，缺血性心脏病-慎用，心脏衰竭-慎用，传导异常病史-慎用，脑血管疾病-慎用，低血压-慎用，癫痫-慎用，阿尔茨海默氏病性痴呆-慎用，驾驶汽车-警告，吸入性肺炎-慎用，脱水-慎用，血容量过低-慎用，降压药-慎用
16,利培酮片,,1.患有心血管疾病（如心衰、心肌梗塞、传导异常、脱水、失血及脑血管病变）的人应慎用，从小剂量开始并应逐渐增加剂量。2.由于本品具有α受体阻断活性，因此在用药初期和加药速度过快时会发生（体位性）低血压，此时则应考虑减量。3.同其它具有多巴胺受体拮抗剂性质的药物相似，引起迟发性运动障碍，其特征为有节律的不随意运动，主要见于舌及面部。如果出现迟发性运动障碍，应停止服用所有的抗精神病药。4.已有报道指出，服用经典的抗精神病药会出现恶性症状群，其特征为高热、肌肉僵直、颤抖、意识改变和肌酸磷酸激酶水平升高。此时应停用包括本品在内的所有抗精神病药物。5.患有帕金森氏综合症的病人应慎用本品，因为在理论上该药会引起此病的恶化。6.经典的抗精神病药会降低癫痫的发作阈值，故患有癫痫的病人仍应慎用本品。7.服用本品的患者应避免进食过多，以免发胖。8.鉴于本品对中枢神经系统的作用，在与其它作用于中枢的药物同时服用时应慎重。9.本品对需要警觉性的活动有影响。因此，在了解到患者对该药的敏感性前，建议患者不应驾驶汽车或操作机器。,心血管疾病-慎用，心衰-慎用，心肌梗塞-慎用，传导异常-慎用，脱水-慎用，失血-慎用，脑血管病变-慎用，（体位性）低血压-减量，高热-停用，肌肉僵直-停用，颤抖-停用，意识改变-停用，肌酸磷酸激酶水平升高-停用，帕金森氏综合症-慎用，癫痫-慎用，中枢的药物-慎用，驾驶汽车-不宜，操作机器-不宜
17,富马酸喹硫平片,,心血管疾病）处理喹硫平无特异性解毒剂。遇到严重中毒的患者，应考虑涉及多种药物的可能性，并建议采取积极的监护措施，包括开通良好的气道，保证足够的供氧和通气，同时监测和维持心血管功能。尽管未研究药物过量时如何防止吸收，但严重中毒时可进行洗胃，如果可能，在摄入后1小时内进行。应考虑使用活性炭。应采取严密的医疗监护和监测，直到患者恢复。,
18,五氟利多片,,肝、肾功能不全者慎用。不宜与其它抗精神病药合用，避免增加锥体外系反应的危险性。应定期检查肝功能与白细胞计数。用药期间不宜驾驶车辆、操作机械或高空作业。,肝功能不全-慎用，肾功能不全-慎用，肝、肾功能不全-慎用，抗精神病药-慎用，肝功能-检查，白细胞计数-检查，驾驶车辆-不宜，操作机械-不宜，高空作业-不宜
19,氨磺必利片,,1.由于药物主要通过肾脏排泄，所以对于患有肾功能不全的病人，应减少服药剂量。2.对于患有严重肾功能不全的病人，没有相关的临床数据。3.精神抑制类药物可降低癫痫发作的阈值。所以对于有惊厥史的病人，服用氨磺必利时应仔细监控。4.由于老年人对药物的高敏感性（可产生镇静或低血压症状），所以老年人服药时应注意。5.对于患有帕金森氏病的病人，服药时应注意除非必需使用精神抑制类药物治疗，否则应避免服用此药。6.对于司机和机器操作者，应特别注意，服用此药可出现瞌睡症状。7.由于本品含有乳糖，本品禁用于先天性半乳糖血症、葡萄糖或半乳糖吸收不良综合征或乳糖酶缺乏的患者。,肾功能不全-减量，惊厥-监控，老年人-注意，帕金森氏病-慎用，司机-注意，机器操作者-注意，先天性半乳糖血症-禁用，葡萄糖或半乳糖吸收不良综合征-禁用，乳糖酶缺乏-禁用
20,盐酸氯丙嗪片,,1、患有心血管疾病（如心衰、心肌梗死、传导异常）慎用。2、出现迟发性运动障碍，应停用所有的抗精神病药。3、出现过敏性皮疹及恶性综合征应立即停药并进行相应的处理。4、用药后引起体位性低血压应卧床，血压过低可静脉滴注去甲肾上腺素，禁用肾上腺素。5、肝、肾功能不全者应减量。6、癫痫患者慎用。7、应定期检查肝功能与白细胞计数。8、对晕动症引起的呕吐效果差。9、用药期间不宜驾驶车辆、操作机械或高空作业。10、不适用于有意识障碍的精神异常者。,心血管疾病-慎用，心衰-慎用，心肌梗死-慎用，传导异常-慎用，迟发性运动障碍-停用，过敏性皮疹-停用，恶性综合征应-停用，体位性低血-休息，肝、肾功能不全-减量，肝功能不全-减量，肾功能不全-减量，癫痫-慎用，肝功能-检查，白细胞计数-检查，驾驶车辆-不宜，操作机械-不宜，高空作业-不宜，意识障碍-不适用
21,氯氮平片,,1、出现过敏性皮疹及恶性综合征应立即停药并进行相应的处理。2、中枢神经抑制状态者慎用。尿潴留患者慎用。3、治疗头3个月内应坚持每1-2周检查白细胞计数及分类，以后定期检查。4、定期检查肝功能与心电图。5、定期检查血糖，避免发生糖尿病或酮症酸中毒。6、用药期间不宜驾驶车辆、操作机械或高空作业。7、用药期间出现不明原因发热，应暂停用药。,过敏性皮疹及恶性综合征-停用，中枢神经抑制状态-慎用，尿潴留-慎用，白细胞计数及分类-检查，肝功能-检查，心电图-检查，血糖-检查，不宜驾驶车辆-不宜，操作机械-不宜，-高空作业-不宜，不明原因发热-停用
22,利培酮口服液,,1.由于本品具有α受体阻断活性，因此尤其是在递增给药初期时可能会发生(体位性)低血压。对于已知患有心血管疾病的患者(如心衰，心肌梗塞，传导异常，脱水，血容量降低或脑血管疾病)应慎用本品，剂量应按推荐剂量逐渐增加(见用法用量)，如发生血压过低现象，应考虑减少剂量。2.同其它具有多巴胺受体拮抗剂性质的药物相似，本品也可引起迟发性运动障碍，其特征为有节律的非自主运动，主要见于舌及面部。有报道表明，锥体外系症状的发生是迟发性运动障碍发展的风险因素，而本品与其它典型抗精神病药物相比，较少引起锥体外系症，因此与该类药物相比本品引发迟发性运动障碍发生的风险较低。如果出现迟发性运动障碍的症状，应考虑停止服用所有的抗精神病药。3.已有报道指出，服用典型的抗精神病药会出现恶性症状群，其特征为高热，肌肉僵直，颤抖，意识改变和肌酸磷酸激酶水平升高。此时应停用包括本品在内的所有抗精神病药物。4.对于老年患者，肝病患者，肾病患者或痴呆患者推荐的特殊剂量，参见[用法用量]部分或遵医嘱。5.患有帕金森氏病的患者应慎用本品，因为在理论上该药会引起此病的恶化。6.典型的抗精神病药会降低癫痫的发作阈值，故癫痫患者应慎用本品。7.服用本品的患者应避免进食过多，以免体重增加。8.本品对需要警觉性的活动有所影响。因此，在了解到患者对该药的敏感性前，建议患者不应驾驶汽车或操作机器。,心血管疾病-慎用，心衰-慎用，心肌梗塞-慎用，传导异常-慎用，脱水-慎用，血容量降低-慎用，脑血管病变-慎用，体位性低血压-减量，迟发性运动障碍-停用，恶性症状群-停用，高热-停用，肌肉僵直-停用，颤抖-停用，意识改变-停用，肌酸磷酸激酶水平升高-停用，帕金森氏综合症-慎用，癫痫-慎用，驾驶汽车-不宜，操作机器-不宜，
23,利培酮片,,1、患有心血管疾病的人(如心衰、心肌梗死、传导异常、脱水、失血及脑血管病变)应慎用，从小剂量开始并应逐渐加大剂量(见,心血管疾病-慎用，心衰-慎用，心肌梗塞-慎用，传导异常-慎用，脱水-慎用，失血-慎用，脑血管病变-慎用
24,盐酸齐拉西酮胶囊,,尚不明确。,
25,盐酸齐拉西酮片,,易于发生电解质紊乱（如低钾血症）者用药前需纠正血钾和镁水平。慎用于合并利尿剂治疗、脑血管疾病、严重心血管疾病、垂体肿瘤、肝病者和妊娠、哺乳妇女。出现持续性QTc超过500毫秒时停药。用药期间可能影响驾驶和操作机械的能力。避免饮酒。详见内包装说明书。,电解质紊乱-注意，合并利尿剂-慎用，脑血管疾病-慎用，严重心血管疾病-慎用，垂体肿瘤-慎用，肝病者-慎用，妊娠-慎用，哺乳妇女-慎用
26,盐酸齐拉西酮胶囊,,尚不明确。,
27,氯氮平片,,1．出现过敏性皮疹及恶性综合征应立即停药并进行相应的处理。2．中枢神经抑制状态者慎用。尿潴留患者慎用。3．治疗头3个月内应坚持每1～2周检查白细胞计数及分类，以后定期检查。4．定期检查肝功能与心电图。5．定期检查血糖，避免发生糖尿病或酮症酸中毒。6．用药期间不宜驾驶车辆、操作机械或高空作业。7．用药期间出现不明原因发热，应暂停用药。,过敏性皮疹及恶性综合征-停用，中枢神经抑制状态-慎用，尿潴留-慎用，白细胞计数及分类-检查，肝功能-检查，心电图-检查，血糖-检查，不宜驾驶车辆-不宜，操作机械-不宜，-高空作业-不宜，不明原因发热-停用
28,氨磺必利片,,恶性综合症与其它精神抑制类药物合用时，可产生恶性综合症（高热，肌肉强直，植物神经功能紊乱，意识障碍，磷酸肌酸激酶含量升高）。高热时，尤其对于那些服用高剂量药物的病人，应停止抗精神病治疗。*延长QT间期氨磺必利延长QT间期，与剂量相关。这种作用可导致严重的室性心律失常，例如尖端扭转型室性心动过速，若有心动过缓，低钾血症，先天性或获得性QT间期延长（合并用药也可延长QT间期），发生严重室性心律失常的危险性增加。,高热-停用
29,舒必利片,,1．患有心血管疾病(如心率失常、心肌梗死、传导异常)应慎用。2．出现迟发性运动障碍，应停用所有的抗精神病药。3．出现过敏性皮疹及恶性症状群应立即停药并进行相应的处理。4．基底神经节病变，帕金森综合征，严重中枢神经抑制状态者慎用。5．肝、肾功能不全者应减量。6．癫痫患者慎用。,心血管疾病-慎用，心率失常-慎用，心肌梗死-慎用，传导异常-慎用，迟发性运动障碍-停用，过敏性皮疹-停用，恶性综合征应-停用，体位性低血-休息，肝、肾功能不全-减量，肝功能不全-减量，肾功能不全-减量，癫痫-慎用，基底神经节病变-慎用，帕金森综合征-慎用，严重中枢神经抑制状态-慎用
30,舒必利片,,1、患有心血管疾病(如心率失常、心肌梗死、传导异常)应慎用。2、出现迟发性运动障碍，应停用所有的抗精神病药。3、出现过敏性皮疹及恶性症状群应立即停药并进行相应的处理。4、基底神经节病变，帕金森综合征，严重中枢神经抑制状态者慎用。5、肝、肾功能不全者应减量。6、癫痫患者慎用。,心血管疾病-慎用，心率失常-慎用，心肌梗死-慎用，传导异常-慎用，迟发性运动障碍-停用，过敏性皮疹-停用，恶性综合征应-停用，体位性低血-休息，肝、肾功能不全-减量，肝功能不全-减量，肾功能不全-减量，癫痫-慎用，基底神经节病变-慎用，帕金森综合征-慎用，严重中枢神经抑制状态-慎用
31,氯氮平片,,1、出现过敏性皮疹及恶性综合征应立即停药并进行相应的处理。2、中枢神经抑制状态者慎用。尿潴留患者慎用。3、治疗头3个月内应坚持每1-2周检查白细胞计数及分类，以后定期检查。4、定期检查肝功能与心电图。5、定期检查血糖，避免发生糖尿病或酮症酸中毒。6、用药期间不宜驾驶车辆、操作机械或高空作业。7、用药期间出现不明原因发热，应暂停用药。,过敏性皮疹及恶性综合征-停用，中枢神经抑制状态-慎用，尿潴留-慎用，白细胞计数及分类-检查，肝功能-检查，心电图-检查，血糖-检查，不宜驾驶车辆-不宜，操作机械-不宜，-高空作业-不宜，不明原因发热-停用
32,盐酸哌罗匹隆片,,1、肝、肾损害患者（发现肝、肾损害动物（大鼠）模型中本品的血药浓度升高）；2、患有心血管疾病、低血压或怀疑患有这些疾病的患者（有时会出现一过性低血压）；3、帕金森氏症患者（可能会加重锥体外系症状）；4、癫痫等痉挛性疾病患者或有既往病史患者（可能会降低痉挛阈值）；5、药物过敏症患者；6、伴有脱水、营养不良状态等的身体疲弱患者（易引起恶性综合症）；7、有既往自杀企图和自杀念头的患者（可能会使症状恶化）；8、有糖尿病或既往史的患者、或者有糖尿病家族史、高血糖、肥胖等糖尿病危险因素的患者（出现过血糖值上升）。(详见内包装说明书)。,肝、肾损害-慎用，肝损害-慎用，肾损害-慎用，心血管疾病-慎用，低血压-慎用，帕金森氏症患者-慎用，癫痫-慎用，脱水-慎用，注意事项-营养不良状态-慎用，糖尿病家族史-慎用，高血糖-慎用，肥胖-慎用
33,帕利哌酮缓释片,,1.会增高痴呆相关性精神病老年患者的死亡率。2.抗精神病药恶性综合征。3.QT间期延长。4.迟发性运动障碍。5.高血糖和糖尿病。6.高催乳素血症。7.胃肠道梗阻的可能性。8.体位性低血压和昏厥。9.可能的认知和运动功能障碍。10.癫痫。(详见包装内部说明书),痴呆相关性精神病老年患者的死亡率-注意，抗精神病药恶性综合征-注意，QT间期延长-注意，迟发性运动障碍-注意，高血糖和糖尿病-注意，高催乳素血症-注意，胃肠道梗阻的可能性-注意，体位性低血压和昏厥-注意，可能的认知和运动功能障碍-注意，癫痫-注意
34,五氟利多片,,肝、肾功能不全者慎用。不宜与其它抗精神病药合用，避免增加锥体外系反应的危险性。应定期检查肝功能与白细胞计数。用药期间不宜驾驶车辆、操作机械或高空作业。,肝功能不全-慎用，肾功能不全-慎用，肝、肾功能不全，抗精神病药-慎用，肝功能-检查，白细胞计数-检查，驾驶车辆-不宜，操作机械-不宜，高空作业-不宜
