病名-证型,症状,治法
胎漏_胎动不安-血瘀证, 宿有徵积 孕后常有腰酸 下腹刺痛 阴道不时流血 血色暗红 妊娠期不慎跌仆闪挫 妊娠期劳力过度 妊娠期手术创伤 继之腰酸腹痛 胎动下坠 阴道少量流血 大小便正常 舌暗红 舌有瘀斑 苔薄 脉弦滑 脉沉弦,活血 化瘀 补血 安胎
胎漏_胎动不安-湿热证, 妊娠期腰酸腹痛 阴道少量流血 淋沥不尽 血色暗红 低热起伏 小便黄赤 大便黏 舌质红 苔黄腻 脉滑数 脉弦数,清热 利湿 补肾 安胎
堕胎-胎堕难留证, 多由胎漏、胎动不安发展而来 阴道流血增多 血色红有块 小腹坠胀疼痛加剧 会阴坠胀 羊水溢出 舌质正常 舌质紫暗 舌边间有瘀点 苔薄 脉滑 脉涩,祛瘀 下胎
堕胎-胎堕不全证, 胎陨之后 尚有部分组织残留于子宫 阴道流血不止 腹痛阵阵 出血如崩 心悸气短 面色苍白 头晕 目眩 舌淡紫 苔白 脉沉细无力,益气 祛瘀
胎死不下-气血虚弱证, 胎死不下 小腹隐痛 小腹冷感 阴道流淡红色血水 头晕 眼花 心悸气短 精神倦怠 面色苍白 舌淡 苔白 脉细弱,益气 养血 活血 下胎
胎死不下-瘀血阻滞证, 胎死不下 小腹刺痛 小腹胀痛 阴道流血 血色紫暗有块 面色青暗 口气恶臭 舌紫暗 舌苔厚腻 脉沉涩,活血 祛瘀 燥湿 行气
滑胎-肾虚证, 屡孕屡堕 应期而堕 精神萎靡 头晕 耳鸣 腰酸膝软 小便频数 目眶暗黑 面色晦暗 舌质淡 苔白 脉沉弱,补肾 益气 固冲
滑胎-气血虚弱证, 屡孕屡堕 头晕 眼花 神倦乏力 心悸气短 面色苍白 舌质淡 苔薄 脉细弱,益气 养血 固冲
滑胎-血瘀证, 素有癥瘕之疾 孕后屡孕屡堕 少腹隐痛 少腹胀痛 肌肤无华 舌质紫暗 舌有瘀斑 苔薄 脉细弦 脉涩,祛瘀 消癥 固冲
葡萄胎-气血虚弱证, 孕期阴道不规则流血 血量多 血色淡 血质稀 腹大异常 无胎动 无胎心音 腹部隐痛 神疲乏力 头晕 眼花 心悸 失眠 面色苍白 舌质淡 苔薄 脉细弱,益气 养血 活血 下胎
葡萄胎-气滞血瘀证, 孕期阴道不规则流血 血量多 血量少 血色紫暗有块 腹大异常 无胎动 无胎心音 腹部胀痛 胸胁胀满 烦躁易怒 舌质紫暗 舌有瘀点 脉涩 脉沉弦,理气 活血 祛瘀 下胎
葡萄胎-寒湿瘀滞证, 孕期阴道不规则流血 血量多 血量少 血色紫暗有块 腹大异常 无胎动 无胎心音 小腹冷痛 形寒肢冷 舌质淡 苔白腻 脉沉紧,散寒 除湿 逐水 化瘀 下胎
葡萄胎-痰浊凝滞证, 孕期阴道不规则流血 血量少 血色暗 腹大异常 无胎动 无胎心音 形体肥胖 胸胁满闷 呕恶痰多 舌质淡 苔腻 脉滑,化痰 除湿 行气 下胎
胎萎不长-气血虚弱证, 妊娠腹形小于妊娠月份 胎儿存活 身体羸弱 头晕 心悸 气少懒言 面色萎黄 面色苍白 舌质淡 苔少 脉细滑弱,补益气血 养胎
胎萎不长-脾肾不足证, 妊娠腹形小于妊娠月份 胎儿存活 头晕 耳鸣 腰膝酸软 纳少 便溏 形寒畏冷 手足不温 倦怠无力 舌质淡 苔白 脉沉迟,补益脾胃 养胎
胎萎不长-血热证, 妊娠腹形小于妊娠月份 胎儿存活 口干喜饮 心烦不安 颧赤唇红 手足心热 便结溺黄 舌质红 苔黄 脉滑数 脉细数,滋阴 清热 养胎育胎
胎萎不长-血瘀证, 妊娠腹形小于妊娠月份 胎儿存活 小腹隐痛 小腹坠痛 肌肤无华 舌质暗红 舌有瘀斑 脉弦滑 脉沉弦,祛瘀 消癥 固冲 育胎
子肿-脾虚证, 妊娠数月 面浮肢肿 遍身俱肿 皮薄光亮 按之凹陷 脘腹胀满 气短懒言 口中淡腻 食欲不振 小便短少 大便溏薄 舌体胖嫩 舌边有齿痕 苔白润 脉沉缓,健脾 除湿 行气 消肿
子肿-肾阳虚证, 妊娠数月 面浮肢肿 下肢尤甚 按之没指 头晕 耳鸣 腰酸无力 下肢逆冷 心悸气短 小便不利 面色晦暗 舌淡 苔白润 脉沉迟,补肾 温阳 化气 行水
子肿-气滞证, 妊娠数月 肢体肿胀 始肿两足 渐及于腿 皮色不变 压痕不显 头晕胀痛 胸胁胀满 饮食减少 舌暗红 苔白滑 苔白腻 脉弦 脉滑,理气 行滞 化湿 消肿
子晕-阴虚肝旺证, 妊娠中晚期 头目眩晕 视物模糊 心中烦闷 颧赤 唇红 口燥 咽干 手足心热 甚或猝然昏倒 舌红 苔少 脉弦细数,滋阴 补肾 平肝 潜阳
子晕-脾虚肝旺证, 妊娠中晚期 头晕 眼花 头胀而重 面浮肢肿 胸闷欲呕 胸胁胀满 纳差便溏 舌红 苔白腻 脉弦滑,健脾 利湿 平肝 潜阳
子痫-肝风内动证,妊娠晩期 头痛昡晕 昏仆不知人 两目上吊 牙关紧闭 四肢抽搐 腰背反张 时作时止 良久不醒 手足心热 颧赤息粗 舌红 舌绛 无舌苔 舌苔花剥 脉弦细而数 弦劲有力,养阴 清热 平肝 息风
子痫-痰火上扰证,妊娠晩期  头痛胸闷 突然昏仆不知人 两目上吊 牙关紧闭 口流涏沫 面浮肢肿 息粗痰呜 四肢抽搐 腰背反张 时作时止 舌红 苔黄腻 脉弦滑而数,清热 开窍 豁痰 息风
胎水肿满-脾气虚弱证,孕期胎水过多 腹大异常 腹部皮肤发亮 下肢水肿 阴部水肿 全身浮肿 食少腹胀 神疲肢软 面色淡黄 舌淡 苔白 脉沉缓,健脾 渗湿 养血 安胎
胎水肿满-气滞湿阻证,孕期胎水过多 腹大异常 胸膈胀满 喘不得卧 肢体肿胀 舌红 舌苔白滑 脉弦滑,理气 行滞 利水 除湿
胎气上逆-肝气犯脾证,胸腹胀满 喘急不安 心悸乏力 烦躁易怒 食少嗳气 大便溏薄 舌淡红 苔薄腻 脉弦滑,疏肝 健脾 理气 行滞
胎气上逆-肺胃积热证,胸腹胀满 喘息不安 咳痰黄稠 口渴口臭 小便短赤 大便秘结 舌红 苔黄 脉滑数,清肺胃热 降逆 化痰
妊娠小便不通-肾虚证,妊娠期间小便不通 小便频数量少 小腹胀满而痛 坐卧不安 腰脓酸软 坐卧不安 舌淡 苔博润 脉沉细无力,温肾 助阳 化气 行水
妊娠小便不通-气虚证,妊娠期间小便频数量少 小腹胀急疼痛 坐卧不安 面色晄白 神疲倦怠 头重眩晕 舌淡 苔薄白 脉虚缓,补中 益气 导溺 举胎
妊娠小便淋痛-阴虚津亏证,妊娠期间小便频欻 淋沥涩痛 小便量少色黄 午后潮热 手足心热 大便干结 颧赤唇红 舌红 舌苔少 无舌苔 脉细数,滋阴 清热 润燥 通淋
妊娠小便淋痛-心火偏亢证,妊娠期间小便频数 艰涩刺痛 尿短赤 面赤心烦 渴喜冷饮  口舌生疮 舌红 苔薄黄 脉滑数,清心 泻火 润燥 通淋
妊娠小便淋痛-湿热下注证,妊娠期间小便频数 尿色黄赤 艰涩不利 灼热刺痛 口苦咽干 渴喜冷饮 胸闷食少 带下黄稠量多 舌红 苔黄腻 脉滑濡数,清热 利湿 润燥 通淋
妊娠咳嗽-阴虚肺燥证,咳嗽不已 干咳无痰 少痰 痰中带血 口燥咽干 手足心热 舌红 舌苔少 脉细滑数,养阴 润肺 止咳 安胎
妊娠咳嗽-脾虚痰饮证,妊娠期间 咳嗽痰多 胸闷气促 喘不得卧 神疲纳呆;舌质淡胖 苔白腻 脉濡滑,健脾 除湿 化痰 止咳
妊娠咳嗽-痰火犯肺证,妊娠期间 咳嗽不已 咳痰不爽 痰液黄稠 面红口干 胸闷烦热 舌质偏红 苔黄腻 脉弦滑而数,清热 降火 化痰 止咳
难产-气血虚弱证,产时阵痛微弜 宫縮持续时间短 间歇时间长 宫缩不强 努责无力 产程进展缓慢 下血量多 色淡 神倦乏力 心悸气短 面色苍白 舌质濙 苔薄 脉虚大 脉细弱,补气 养血 润胎 催产
难产-气滞血瘀证,产时腰腹持续胀痛剧烈 按之痛甚 孑宫收缩不协调 宫缩强 宫缩间敭不均 无推力 久产不下 血色暗红 精神紧张 烦躁不安 胸闷脘胀 时欲呕恶 面色紫暗 舌暗红 苔薄白 脉弦涩,行气 化瘀 滑胎 催产
